cgpa,score,placed
6.87,5.32,0
9.75,8.94,1
8.66,9.09,1
7.99,7.93,1
5.78,5.91,0
5.78,5.57,0
5.29,5.17,0
9.33,9.7,1
8.01,6.41,1
8.54,7.65,1
5.1,4.02,0
9.85,10.0,1
9.16,9.87,1
6.06,4.34,0
5.91,5.8,0
5.92,6.33,0
6.52,5.03,0
7.62,7.07,0
7.16,7.63,1
6.46,4.61,0
8.06,7.89,0
5.7,4.67,0
6.46,6.91,0
6.83,7.43,1
7.28,7.85,1
8.93,7.94,1
6.0,6.27,1
7.57,7.86,0
7.96,6.59,1
5.23,5.4,0
8.04,5.75,1
5.85,5.49,0
5.33,4.22,0
9.74,7.29,1
9.83,7.18,1
9.04,8.85,1
6.52,5.45,0
5.49,5.43,0
8.42,6.11,1
7.2,5.95,1
5.61,5.14,0
7.48,7.6,1
5.17,4.28,0
9.55,9.08,1
6.29,6.63,1
8.31,7.86,1
6.56,5.2,0
7.6,5.39,1
7.73,8.1,1
5.92,4.19,0
9.85,10.0,1
8.88,8.09,1
9.7,10.0,1
9.47,9.65,1
7.99,8.78,1
9.61,8.08,1
5.44,5.48,0
5.98,5.15,0
5.23,4.66,0
6.63,6.31,1
6.94,7.28,1
6.36,6.96,1
9.14,9.21,1
6.78,5.88,0
6.4,5.56,0
7.71,7.67,1
5.7,4.53,0
9.01,6.71,1
5.37,4.52,0
9.93,8.09,1
8.86,7.25,1
5.99,4.75,0
5.03,3.61,0
9.08,6.42,1
8.53,9.34,1
8.65,7.54,1
8.86,7.56,1
5.37,5.22,0
6.79,5.35,1
5.58,6.03,0
9.32,9.46,1
8.12,5.97,1
6.65,5.77,0
5.32,5.59,1
6.55,7.06,1
6.63,5.88,0
8.65,8.18,1
8.19,6.28,1
9.44,10.0,1
7.36,5.83,1
5.6,6.03,0
8.57,8.23,1
8.8,8.3,1
7.81,7.07,1
8.85,7.01,1
7.47,5.76,0
7.61,6.0,1
7.14,5.53,1
5.13,5.19,0
5.54,4.65,0
5.16,3.73,0
8.18,8.9,1
6.57,6.92,1
7.54,8.08,1
9.54,10.0,1
6.25,4.81,0
7.05,6.05,0
8.78,8.81,1
6.14,6.01,0
5.38,4.1,1
6.45,6.62,1
5.81,4.59,0
9.65,7.62,1
9.04,8.27,1
8.17,7.66,1
9.36,8.72,1
9.02,6.64,1
5.93,6.23,0
9.46,7.63,1
7.7,5.79,0
9.04,9.54,1
9.48,10.0,1
6.59,6.89,0
5.55,5.68,0
6.14,5.91,1
7.14,6.57,1
9.09,6.68,1
9.3,8.03,1
5.03,4.27,0
7.55,6.07,1
7.09,7.01,1
6.11,5.49,0
5.6,4.1,0
6.69,5.27,0
9.71,9.45,1
6.62,4.84,1
7.59,7.9,1
8.52,7.65,1
6.82,6.09,0
9.86,9.24,1
9.81,10.0,1
6.26,5.25,0
7.49,7.27,1
6.5,6.02,0
6.42,5.18,0
5.18,5.45,0
8.05,8.2,1
7.51,7.23,1
5.26,5.47,0
6.39,6.69,0
9.54,9.38,1
6.2,6.42,0
5.72,5.6,0
7.45,7.24,1
9.93,9.41,1
6.21,6.22,0
8.36,6.38,1
8.81,9.27,1
6.19,6.49,0
8.64,6.15,1
6.84,7.05,1
8.16,6.13,1
8.17,6.81,1
7.68,7.66,1
5.45,4.17,0
9.18,9.43,1
6.6,6.82,0
5.93,5.35,0
5.2,3.65,0
7.95,6.48,1
8.39,7.94,1
5.08,5.55,0
7.56,7.2,1
6.13,4.93,0
8.23,7.85,1
5.87,5.38,0
8.45,8.55,1
6.93,5.15,0
9.68,9.72,1
5.69,5.21,0
6.71,7.28,1
5.57,4.66,0
9.62,9.17,1
9.39,10.0,1
6.29,4.66,0
8.3,8.92,1
9.09,8.86,1
7.78,5.66,0
7.65,6.28,0
6.21,6.11,1
5.47,3.98,0
9.49,8.85,1
9.5,7.96,1
8.17,7.75,1
6.7,4.81,0
6.75,7.08,1
8.63,9.4,1
9.49,10.0,1
9.44,9.44,1
8.9,6.69,1
8.21,8.24,0
5.42,3.85,0
5.81,4.12,0
9.49,7.87,1
8.03,7.19,1
5.05,5.09,0
5.51,5.36,0
8.32,7.31,1
5.03,4.07,0
5.8,6.37,1
7.74,6.74,1
8.46,7.45,1
8.26,6.32,1
6.12,6.23,1
8.56,8.37,1
6.19,4.88,0
6.63,4.86,1
8.73,8.49,1
8.25,7.93,1
9.25,7.49,1
8.29,8.96,1
7.84,5.96,1
5.47,4.77,0
6.84,7.37,1
6.33,5.49,0
6.22,5.94,0
9.87,8.48,1
6.97,5.64,1
9.46,10.0,1
8.16,7.05,1
8.97,9.49,1
7.51,5.95,1
7.88,6.19,0
7.46,5.31,1
5.98,5.74,0
8.61,7.3,1
6.4,6.69,0
5.12,4.55,0
8.23,8.95,1
5.89,4.56,0
9.7,10.0,1
9.77,9.87,1
9.57,9.65,1
6.85,7.11,0
5.08,5.1,0
9.64,9.16,1
7.14,5.37,0
9.83,7.01,1
9.82,10.0,1
9.27,8.78,1
6.47,6.59,1
6.93,6.19,0
9.26,6.92,1
6.58,4.94,1
5.85,5.7,1
7.78,6.79,1
9.68,7.55,1
8.48,7.6,1
7.85,5.7,1
5.49,5.12,0
8.08,6.53,1
9.95,10.0,1
5.7,4.7,0
7.59,6.7,1
9.39,6.62,1
8.7,6.34,1
8.49,7.28,1
8.51,7.59,1
6.8,6.39,1
6.47,5.28,0
9.05,8.85,1
9.05,9.45,1
9.34,9.45,1
9.57,6.85,1
7.56,6.75,0
7.51,5.57,0
8.99,7.16,1
8.25,9.03,1
8.51,6.44,1
8.98,8.08,1
9.45,8.95,1
6.69,6.56,1
6.88,6.36,1
5.47,3.85,0
7.89,6.55,1
5.18,4.7,0
7.33,5.39,1
7.71,6.48,1
6.43,4.59,0
7.95,5.81,1
5.15,4.42,0
5.19,3.91,0
9.11,8.45,1
6.8,6.64,1
5.64,5.75,0
7.61,5.94,1
8.85,6.79,1
6.08,4.51,0
8.11,7.74,1
5.43,5.34,0
5.26,3.75,0
7.66,8.23,1
7.7,5.55,1
8.19,7.51,1
8.63,8.49,1
9.88,10.0,1
7.58,7.47,1
6.61,6.75,0
8.98,7.51,1
6.35,6.51,0
7.19,5.26,0
5.39,5.7,1
5.13,4.71,0
9.81,10.0,1
9.18,8.09,0
8.48,8.12,1
7.04,6.41,1
5.87,5.83,0
5.78,4.23,0
6.25,4.53,0
7.75,6.19,0
8.57,6.55,1
8.3,8.7,1
6.4,5.04,0
9.77,10.0,1
8.69,7.25,0
7.77,6.01,0
8.06,8.19,1
7.1,6.84,1
6.24,5.61,0
6.78,6.25,1
8.79,8.68,1
5.07,4.01,0
5.58,6.13,0
5.23,5.7,0
5.2,4.99,0
9.28,7.24,1
8.52,8.28,1
7.37,5.37,0
5.49,3.91,0
7.46,5.99,0
7.37,6.52,1
5.87,6.15,0
7.17,7.1,1
6.99,6.97,0
8.08,7.03,1
8.18,6.86,1
5.23,4.44,0
6.87,7.52,1
8.13,5.82,1
7.52,7.87,1
9.28,8.64,1
8.29,7.26,1
5.81,5.75,1
5.35,4.79,0
8.21,8.62,1
5.13,5.44,0
7.93,6.89,1
9.7,7.86,1
7.88,7.38,1
6.94,7.39,1
8.22,6.45,1
7.29,6.92,1
7.73,7.36,1
9.71,9.64,1
6.93,5.22,0
9.81,9.68,1
9.53,10.0,1
5.98,4.62,0
5.35,4.25,0
5.5,5.99,0
5.09,3.93,0
5.47,5.7,0
8.42,7.55,1
5.36,4.28,0
6.59,6.91,1
9.22,8.1,1
5.12,4.64,0
9.07,7.65,1
6.41,6.01,1
5.59,4.28,0
8.48,7.26,1
8.14,8.85,1
9.39,7.54,1
8.68,8.36,1
9.02,7.49,1
6.41,6.47,0
5.89,4.43,0
8.75,9.52,1
9.03,7.96,1
9.95,7.9,1
7.06,5.15,0
6.86,5.27,0
8.88,8.06,1
6.7,5.59,1
9.65,9.95,1
9.29,8.1,1
7.14,5.71,0
8.75,8.29,1
8.77,8.62,1
5.52,4.23,0
9.51,7.29,1
7.53,5.38,0
9.13,9.08,1
6.6,6.37,1
9.48,8.44,1
6.95,7.21,1
5.05,5.16,0
9.53,8.9,1
5.46,5.72,0
6.6,5.16,0
9.75,7.26,1
9.75,7.88,1
7.87,5.69,1
8.16,7.45,1
7.24,7.78,0
6.47,4.63,0
6.64,4.97,0
8.36,7.36,1
8.76,9.4,1
8.96,7.41,1
8.95,8.08,1
5.46,3.91,0
7.47,5.67,1
5.29,5.79,0
7.75,8.42,1
7.21,5.06,0
9.44,10.0,1
6.75,6.45,1
5.59,5.85,1
5.71,5.04,0
8.81,7.98,1
8.09,7.24,0
5.51,5.33,0
5.42,4.1,0
8.5,6.05,1
5.36,4.41,0
9.11,8.94,1
8.53,6.66,1
5.41,5.24,0
5.42,5.9,0
9.93,7.32,1
6.87,6.66,0
6.85,6.01,1
9.06,9.49,1
9.74,7.51,1
9.93,9.7,1
8.77,9.08,1
6.88,7.42,1
5.42,5.28,0
8.89,7.99,1
7.79,7.38,0
7.12,7.46,1
9.53,8.85,1
5.56,3.96,0
7.46,8.0,1
5.06,4.94,0
7.34,7.12,1
5.28,4.15,0
5.59,5.39,0
5.59,4.79,1
8.25,7.92,1
8.73,6.48,1
7.92,7.63,1
9.81,10.0,1
6.87,4.94,0
6.43,7.01,1
9.34,8.06,1
6.12,6.42,0
9.82,9.95,1
5.06,4.69,0
9.85,9.8,1
5.22,5.49,1
9.46,8.15,1
7.64,6.35,1
9.96,9.63,1
5.37,5.49,0
7.77,7.81,1
9.85,10.0,1
7.62,6.66,0
8.15,8.37,1
8.48,6.34,0
7.27,6.67,0
8.14,5.72,1
7.92,6.57,1
9.51,8.05,1
5.23,4.49,0
6.4,6.26,1
9.75,8.34,1
9.45,8.31,1
7.28,5.79,1
8.1,6.88,1
6.39,5.05,0
5.94,4.33,0
7.32,6.89,1
6.77,6.55,1
7.92,7.51,1
5.39,4.77,0
9.87,8.41,1
9.93,10.0,1
8.49,7.71,1
7.68,6.85,1
6.55,4.65,0
9.07,7.59,1
8.42,7.17,1
5.81,4.99,0
9.55,8.9,1
9.11,8.32,1
9.75,9.2,1
8.63,8.68,1
8.07,8.27,1
7.09,7.0,0
9.66,10.0,1
9.33,6.6,1
5.23,4.07,0
5.13,3.61,0
6.88,6.6,1
9.05,9.59,1
9.94,7.93,1
5.75,6.16,0
7.97,5.77,0
6.9,7.41,1
9.85,8.28,1
9.21,6.82,1
9.19,8.22,1
7.34,5.89,1
7.07,5.75,0
6.37,5.24,1
5.28,5.39,0
9.32,8.53,0
9.06,7.47,1
10.0,9.44,1
9.98,9.84,1
7.78,6.29,1
8.84,7.65,1
9.72,7.28,1
9.25,7.15,1
6.24,6.07,0
7.25,5.6,1
5.65,5.14,0
9.77,9.61,1
8.03,5.96,0
6.14,5.69,1
8.36,6.71,1
8.09,8.78,1
6.79,6.07,0
5.57,5.69,0
8.36,7.69,1
7.6,5.45,1
8.86,8.45,1
7.6,8.21,1
9.26,8.71,1
7.76,7.97,1
7.8,8.22,1
9.38,7.42,1
7.02,5.51,1
5.67,5.35,0
5.14,4.44,0
8.78,9.1,1
8.1,8.59,1
8.52,7.17,1
6.06,4.82,0
5.68,5.75,0
5.07,4.11,0
6.75,6.95,1
7.95,6.91,1
6.96,6.73,1
7.19,5.31,0
9.52,9.04,1
6.74,5.94,1
7.57,7.08,1
8.92,6.84,1
6.98,6.94,1
8.11,8.48,1
9.31,7.32,1
9.75,7.2,1
5.74,4.07,1
9.63,9.21,1
7.46,7.03,1
6.29,5.78,0
7.3,5.79,1
9.9,8.48,1
7.46,7.0,1
6.64,5.97,0
8.17,8.95,1
6.2,4.68,0
5.38,5.26,0
5.64,4.86,0
5.64,4.91,0
5.76,5.69,0
5.69,5.56,0
8.2,8.99,1
5.91,4.44,0
6.73,4.99,0
9.48,9.38,1
7.37,6.86,0
8.34,6.75,1
5.86,4.29,0
5.96,4.38,0
5.2,5.5,0
5.84,4.54,0
6.39,5.3,0
5.89,4.66,0
5.44,4.58,0
5.6,4.08,0
7.3,6.63,1
6.03,4.38,0
6.82,6.96,1
7.52,5.97,0
8.45,7.74,1
5.2,5.47,0
9.0,8.64,1
8.14,7.43,1
5.41,4.49,0
9.37,7.81,1
9.6,9.29,1
5.31,5.83,0
6.38,6.16,0
9.03,8.34,1
8.74,8.67,1
5.92,5.25,0
6.05,4.38,0
6.85,6.34,1
7.42,8.04,1
8.09,6.23,1
6.84,6.68,0
7.31,5.7,1
8.74,7.99,1
5.18,3.83,0
6.26,5.51,0
8.57,8.59,1
9.48,7.95,1
7.56,7.3,1
7.66,7.8,1
5.54,5.93,0
7.24,5.75,1
7.66,6.59,0
6.21,4.73,0
6.35,6.97,0
6.89,7.38,1
5.1,4.67,0
6.61,6.85,1
6.06,5.5,0
6.64,6.3,1
5.6,4.12,0
9.45,9.47,1
7.97,5.99,0
8.4,8.66,1
8.95,9.06,1
7.49,7.37,1
5.43,3.88,0
7.69,6.32,1
7.93,6.39,1
8.73,7.37,1
7.16,5.26,1
5.64,6.06,0
6.42,5.92,1
6.82,5.61,1
8.23,7.07,1
7.85,6.9,1
6.78,6.37,1
9.93,9.0,1
8.03,8.57,1
6.19,5.56,0
5.51,6.04,0
5.76,5.99,0
6.23,4.88,0
5.8,6.22,0
5.93,4.43,0
6.43,6.6,1
5.87,5.0,0
9.48,9.97,1
5.4,5.66,0
7.62,7.79,1
7.05,7.16,0
9.91,8.14,1
5.56,4.07,0
6.99,6.02,1
9.85,7.58,1
9.33,9.12,1
9.09,7.62,1
6.29,6.86,0
5.85,5.59,0
8.34,8.58,1
9.65,7.27,1
7.78,8.13,1
7.86,8.4,1
6.4,5.73,0
8.85,8.34,1
5.94,5.98,0
6.62,5.1,0
7.13,6.42,1
7.54,6.48,1
6.21,4.71,0
5.57,4.72,1
8.05,5.85,1
6.44,4.57,0
7.91,5.96,1
5.77,6.26,1
7.41,6.82,1
7.66,8.32,1
5.26,4.59,1
6.68,5.51,0
